Dataset Name,App,Level,Compression Ratio,Compression Speed,Decompression Speed,Status
dataset_silesia_x-ray.tar,les,1,0.80058,14.04,87.51,OK
dataset_silesia_x-ray.tar,les,2,0.80014,11.76,87.29,OK
dataset_silesia_x-ray.tar,les,3,0.80068,12.56,80.75,OK
dataset_silesia_x-ray.tar,les,4,0.80145,11.76,62.92,OK
dataset_silesia_x-ray.tar,les,5,0.80322,12.48,61.36,OK
dataset_silesia_x-ray.tar,les,6,0.80734,12.53,63.76,OK
dataset_silesia_x-ray.tar,les,7,0.81728,11.46,57.83,OK
dataset_silesia_x-ray.tar,les,8,0.82607,11.45,56.72,OK
dataset_silesia_x-ray.tar,les,9,0.82696,11.99,59.32,OK
dataset_silesia_x-ray.tar,lz4,1,0.98983,373.38,503.55,OK
dataset_silesia_x-ray.tar,lz4,3,0.85028,47.8,449.85,OK
dataset_silesia_x-ray.tar,lz4,5,0.84712,46.05,461.38,OK
dataset_silesia_x-ray.tar,lz4,7,0.84712,44.4,458.21,OK
dataset_silesia_x-ray.tar,lz4,9,0.84712,44.76,435.35,OK
dataset_silesia_x-ray.tar,gzip,1,0.71102,56.93,115.77,OK
dataset_silesia_x-ray.tar,gzip,3,0.70307,43.98,124.36,OK
dataset_silesia_x-ray.tar,gzip,5,0.71315,30.99,122.52,OK
dataset_silesia_x-ray.tar,gzip,7,0.71213,27.87,122.0,OK
dataset_silesia_x-ray.tar,gzip,9,0.71213,28.99,123.14,OK
dataset_silesia_x-ray.tar,zstd,1,0.79873,309.86,740.23,OK
dataset_silesia_x-ray.tar,zstd,3,0.71784,100.99,534.0,OK
dataset_silesia_x-ray.tar,zstd,5,0.65545,50.51,317.63,OK
dataset_silesia_x-ray.tar,zstd,7,0.64114,48.53,400.82,OK
dataset_silesia_x-ray.tar,zstd,9,0.63236,32.48,420.7,OK
dataset_silesia_x-ray.tar,zstd,11,0.62705,14.3,386.44,OK
dataset_silesia_x-ray.tar,zstd,13,0.62702,4.5,400.2,OK
dataset_silesia_x-ray.tar,zstd,15,0.62632,4.88,399.94,OK
dataset_silesia_x-ray.tar,zstd,17,0.61373,3.18,342.24,OK
dataset_silesia_x-ray.tar,bzip2,1,0.51091,17.87,31.77,OK
dataset_silesia_x-ray.tar,bzip2,3,0.48936,18.76,27.81,OK
dataset_silesia_x-ray.tar,bzip2,5,0.48272,19.33,27.53,OK
dataset_silesia_x-ray.tar,bzip2,7,0.47978,18.81,27.18,OK
dataset_silesia_x-ray.tar,bzip2,9,0.47781,17.73,27.21,OK
dataset_silesia_reymont.tar,les,1,0.55487,15.46,142.72,OK
dataset_silesia_reymont.tar,les,2,0.47956,14.34,160.77,OK
dataset_silesia_reymont.tar,les,3,0.46227,13.73,167.86,OK
dataset_silesia_reymont.tar,les,4,0.45626,13.52,171.03,OK
dataset_silesia_reymont.tar,les,5,0.4558,12.53,156.69,OK
dataset_silesia_reymont.tar,les,6,0.45571,12.62,163.36,OK
dataset_silesia_reymont.tar,les,7,0.45561,13.13,161.09,OK
dataset_silesia_reymont.tar,les,8,0.45557,13.26,151.33,OK
dataset_silesia_reymont.tar,les,9,0.45557,13.0,151.6,OK
dataset_silesia_reymont.tar,lz4,1,0.47959,266.1,445.78,OK
dataset_silesia_reymont.tar,lz4,3,0.36633,77.81,486.74,OK
dataset_silesia_reymont.tar,lz4,5,0.33495,42.72,465.63,OK
dataset_silesia_reymont.tar,lz4,7,0.32281,24.52,493.52,OK
dataset_silesia_reymont.tar,lz4,9,0.31866,15.13,463.32,OK
dataset_silesia_reymont.tar,gzip,1,0.35816,90.37,165.68,OK
dataset_silesia_reymont.tar,gzip,3,0.32158,54.0,178.94,OK
dataset_silesia_reymont.tar,gzip,5,0.29097,35.57,172.23,OK
dataset_silesia_reymont.tar,gzip,7,0.27678,13.31,178.59,OK
dataset_silesia_reymont.tar,gzip,9,0.27445,6.95,177.83,OK
dataset_silesia_reymont.tar,zstd,1,0.32397,209.41,617.64,OK
dataset_silesia_reymont.tar,zstd,3,0.29261,149.25,551.05,OK
dataset_silesia_reymont.tar,zstd,5,0.28108,80.56,558.58,OK
dataset_silesia_reymont.tar,zstd,7,0.259,47.62,583.76,OK
dataset_silesia_reymont.tar,zstd,9,0.25154,39.73,561.87,OK
dataset_silesia_reymont.tar,zstd,11,0.23776,19.07,635.33,OK
dataset_silesia_reymont.tar,zstd,13,0.23207,7.06,596.78,OK
dataset_silesia_reymont.tar,zstd,15,0.21908,2.93,578.88,OK
dataset_silesia_reymont.tar,zstd,17,0.20616,2.59,497.64,OK
dataset_silesia_reymont.tar,bzip2,1,0.22321,18.57,41.47,OK
dataset_silesia_reymont.tar,bzip2,3,0.20301,17.19,35.15,OK
dataset_silesia_reymont.tar,bzip2,5,0.19478,17.63,36.53,OK
dataset_silesia_reymont.tar,bzip2,7,0.19102,16.19,35.53,OK
dataset_silesia_reymont.tar,bzip2,9,0.18781,16.22,35.17,OK
dataset_silesia_xml.tar,les,1,0.3537,16.97,200.06,OK
dataset_silesia_xml.tar,les,2,0.2995,16.22,221.27,OK
dataset_silesia_xml.tar,les,3,0.29209,15.5,207.94,OK
dataset_silesia_xml.tar,les,4,0.2901,15.33,221.57,OK
dataset_silesia_xml.tar,les,5,0.28955,15.09,217.45,OK
dataset_silesia_xml.tar,les,6,0.28944,15.2,210.47,OK
dataset_silesia_xml.tar,les,7,0.28938,14.31,198.16,OK
dataset_silesia_xml.tar,les,8,0.28932,14.1,180.62,OK
dataset_silesia_xml.tar,les,9,0.28932,14.02,180.96,OK
dataset_silesia_xml.tar,lz4,1,0.22935,398.95,477.02,OK
dataset_silesia_xml.tar,lz4,3,0.15948,144.43,513.73,OK
